"BEZEICHNUNG","THIS_YEAR"
"Liquide Mittel",16091032.55
"Forderungen aus Lieferungen und Leistungen",19813914.48
"Forderungen im Verbundbereich",243527.54
"Vorräte",69905.5
"kurzfristige Vermögensgegenstände",3905439.59
"Wertpapiere",37500
"ÜBRIGE",0
"Latente Steuern",181000
"Sachanlagevermögen",1146231.8
"Immaterielle Vermögensgegenstände",4211871.55
"Finanzanlagen",1875753.36
"Technologies AG",43315000
"InfoGenie Global GmbH",2300000
"net sales GmbH",167000
"Click2Pay GmbH",2068000
"Beteiligungsg. mbH",2179000
"langfristigen Darlehen",6822634.61
"Verbindlichkeiten aus Lieferungen und Leistungen",23502800.2
"Verbindlichkeiten im Verbundbereich",1582096.95
"Erhaltene Anzahlungen",0
"Rückstellungen",3290844
"Sonstige kurzfristige Verbindlichkeiten",1780678.82
"Umsatzabgrenzungsposten",96042.17
"Anleihen",490500
"Minderheitenanteile",0
"Gezeichnetes Kapital",55408228
"Kapitalrücklage",2864765.03
"Bilanzgewinn / Bilanzverlust (inkl.Gewinnrücklagen)",1733618.84
"Kumuliertes übriges Comprehensive Income",32736.01
"Jahresergebnis",3497960.88
"und Wertberichtigungen",2916345.85
"Sonstige: Comprehensive Income",5886.02
"Leistungen u. sonstigen Passiva",19955484.59
"Veränderung des Nettoumlaufvermögens",13869853.51
"von Erstkonsolidierungen",1955765.4
"Erwerb von Anlagevermögen",8568027.88
"Erlöse aus dem Verkauf von Anlagevermögen",422361
"Rückzahlung ausgereichter Darlehen",0
"Erlöse aus Eigenkapitalzuführungen",5603257.03
"langfristigen Darlehen",490500
"Auszahlungen aus der Tilgung von Darlehen",0
"Zahlungswirksame Veränderungen des Finanzmittelfonds",9031473.58
"Umsatzerlöse",33891984.76
"Sonstige betriebliche Erträge",1053220.46
"Bestandsveränderungen an fertigen und unfertigen Erzeugnissen",29671
"Andere aktivierte Eigenleistungen",0
"Materialaufwand / Aufwand für bezogene Leistungen",19935194.55
"Personalaufwand",5669212.91
"Abschreibungen auf Sachanlagen (und immaterielle",414813.04
"Abschreibungen auf den Geschäfts- oder Firmenwert",118511.96
"Sonstige betriebliche Aufwendungen",3244955.24
"Übrige",0
"Zinserträge/-aufwendungen",121971.65
"Beteiligungserträge",0
"bilanzierten Finanzanlagen",0
"Währungsgewinne/-verluste",160168.95
"Sonstige Erlöse/Aufwendungen",0
"Steuern vom Einkommen und Ertrag",1953804.44
"Außerordentliche Erträge/Aufwendungen",141717.4
"Ergebnis je Aktie (unverwässert)",80
"Vermögenswerte",62454.7
"Vermögenswerte",4574100.75
"Sonstige Sachanlagen",733236.44
"3. FINANZIELLE VERMÖGENSWERTE",4124519.98
"Latente Steuern",1878.48
"1. VORRÄTE",2716848.38
"FORDERUNGEN",53226702.15
"Steuererstattungsansprüche",279411.52
"VERMÖGENSWERTE",0
"ZAHLUNGSMITTEL ÄQUIVALENTE",36887953.2
"EPRM",54854000
"CCS",288000
"Sonstiges",2179000
"Impairment-Abschreibungen",161000
"1. Gezeichnetes Kapital",77933773
"2. Kapitalrücklage",1451386.79
"3. Bilanzgewinn",17281935.97
"4. Umrechnungsrücklage",26814.21
"a) Steuerrückstellungen",2238546
"b) Sonstige kurzfristige Rückstellungen",1347527.56
"a1) Latente Steuern",156172.43
"a2) Sonstige langfristige Schulden",309156.5
"und Leistungen",51671053.03
"b2) Verzinsliche Schulden",4466352.8
"Verbindlichkeiten",2884598.09
"Kurzfristige Steuerschulden",0
"Ergebnis nach Steuern",11043327.76
"+/- Abschreibungen/Zuschreibungen auf Geschäftswerte",160954
"+/- Zunahme/Abnahme der Rückstellungen",1507956.67
"+/- Sonstige zahlungsunwirksame Aufwendungen/Erträge",437564.76
"-/+ Zunahme/Abnahme der kurzfristigen Vermögenswerte ohne Finanzmittel",31678393.24
"+/- Zunahme/Abnahme der sonstigen Schulden und Steuerschulden",27408658.99
"+/- Nicht zahlungswirksame Vorgänge aufgrund Erstkonsolidierungen",0
"+ Einzahlungen aus dem Abgang von Sachanlagen",27661.16
"- Auszahlungen für Investitionen in Sachanlagen",65041.38
"+ Einzahlungen aus dem Abgang von immateriellen Vermögenswerten",75
"- Auszahlungen für Investitionen in immaterielle Vermögenswerte",828176.4
"- Auszahlungen für Geschäftswerte",5504496.69
"Vermögenswerte",210749.32
"+ Einzahlungen aus Eigenkapitalzuführungen",43344.29
"+/- Einzahlungen/Auszahlungen aus der Aufnahme Tilgung von (Finanz-) Krediten",92825
"Zahlungswirksame Veränderungen des Finanzmittelfonds",3022837.47
"Finanzmittelfonds",129.09
"nicht zahlungswirksame Eigenkapitalzuführungen",0
"davon Sachkapitalerhöhung",0
"Umsatzerlöse",57831715.95
"1. Aktivierte Eigenleistungen",106516
"2. Bestandsveränderungen",1478297
"1. Materialaufwand",30899932.36
"2. Personalaufwand",8888832.75
"3. Abschreibungen",772976.87
"1. Sonstige betriebliche Erträge",1559768.54
"2. Sonstige betriebliche Aufwendungen",7298311.04
"1. Finanzaufwand",365318.92
"2. Sonstige Finanzerträge",478793.05
"Ertragssteueraufwand",2186390.84
"Ertrag aus Kapitalherabsetzung",3000
"Ergebnis je Aktie",160
"Vermögenswerte",5704416
"c) Sonstige immaterielle Vermögenswerte",41280763.21
"Sonstige Sachanlagen",885811.34
"3. FINANZIELLE VERMÖGENSWERTE",3296860.91
"Latente Steuern",9558074.13
"1. VORRÄTE",86775.28
"FORDERUNGEN",116135654.58
"Steuererstattungsansprüche",142337.76
"4. ÜBRIGE FINANZIELLE VERMÖGENSWERTE",0
"ZAHLUNGSMITTELÄQUIVALENTE",75515427.22
"EPRM",49219000
"CCS",288000
"Sonstiges",0
"Impairment-Abschreibungen",0
"abzgl. Goodwill Anpassung wg. latenter Steuern",2963000
"1. Gezeichnetes Kapital",79388253
"2. Kapitalrücklage",7814014.23
"3. Bilanzgewinn",44420367.3
"4. Umrechnungsrücklage",23610.32
"a) Steuerrückstellungen",1283274.46
"b) Sonstige kurzfristige Rückstellungen",4177270.86
"a1) Latente Steuern",1580329.77
"a2) Langfristige verzinsliche Schulden",6500000
"a3) Sonstige langfristige Schulden",158305.83
"Leistungen",105788061.71
"b2) Verzinsliche Schulden",3782534.93
"b3) Sonstige finanzielle Verbindlichkeiten",44054824.15
"Kurzfristige Steuerschulden",179580.24
"Ergebnis nach Steuern",22743445.3
"+/- Abnahmen/Zunahmen aus Währungskursdifferenzen",1188.98
"+/- Abschreibungen/Zuschreibungen auf Geschäftswerte",2962843.86
"+/- Zunahme/Abnahme der Rückstellungen",2884461.93
"sonstige zahlungswirkase, Aufwendungen/Erträge",4971634.84
"Zunahme Abnahme der Vermögenswerte",59160722.02
"+/- Zunahme/Abnahme der sonstigen Schulden und Steuerschulden",50043490.37
"+/- Anpassungen aufgrund Erstkonsolidierung",0
"+ Einzahlungen aus dem Abgang von immateriellen Vermögenswerten",0
"Auszahlung für Investitionen",15562888.08
"- Auszahlungen für Geschäftswerte",0
"+ Einzahlungen aus dem Abgang von Sachanlagen",1218
"Auszahlung für Investitionen in Sachanlagen",414220.16
"Auszahlung aufgrund von Investitionen in finanziellen Vermögenswerte",127078.57
"für Investitionen in Geschäftswerte",182128.86
"+ Einzahlungen aus dem Abgang von finanziellen Vermögenswerten",0
"mit der Kapitalrücklage",484601.72
"Einzahlung/Auszahlung aus Aufnahmen/Tilgung von Finanz Krediten",67896.8
"Zahlungswirksame Veränderung des Finazmittelfonds",42194.59
"+/- wecheselkursbedingte Änderung",3736.44
"Umsatzerlöse",93803440.72
"2. Bestandsveränderungen",3321194.67
"Materialaufwand",51061344.01
"Personalaufwand",11487582.21
"Abschreibungen",1323124.58
"betriebliche Erträge",921503.2
"betriebliche Aufwendungen",11551426.84
"Finanzaufwand",3474799.66
"Finanzertrag",436127.23
"Ertragsteueraufwand",3159456.78
"Ertrag aus Kapitalherabsetzung",0
"Ergebnis je Aktie (unverwässert)",290
"Selbsterstellte immaterielle Vermögenswerte",8832322
"Sonstige immaterielle Vermögenswerte",7457861
"Kundenbeziehungen",44728824.94
"Sonstige Sachanlagen",1657036.85
"3. Finanzielle Vermögenswerte",2598625.82
"Latente Steuern",5863302.96
"1. Vorräte",2016434.03
"2. Forderungen aus Lieferungen und Leistungen und sonstige Forderungen",72121340.41
"Steuererstattungsansprüche",2620199.85
"4. Übrige finanzielle Vermögenswerte",0
"5. Zahlungsmittel und Zahlungsmitteläquivalente",171445611.63
"Payment Processing & Risk Management",65984000
"Acquiring & Issuing",24017000
"Call Center & Communication Services",288000
"abzüglich: Impairment-Abschreibungen",0
"abzgl. Goodwill Anpassung wg. Latenter Steuern",0
"1. Gezeichnetes Kapital",101800539
"2. Kapitalrücklage",10557569.89
"3. Bilanzgewinn",81632259.18
"4. Umrechnungsrücklage",7379.29
"Langfristige verzinsliche Verbindlichkeiten",8000000
"Sonstige langfristige Verbindlichkeiten",60000
"Latente Steuern",4189888.67
"Verbindlichkeiten aus Lieferungen und Leistungen",95092748.52
"Verzinsliche Verbindlichkeiten",3855429.99
"Sonstige Rückstellungen",4446537.87
"Sonstige Verbindlichkeiten",24670998.8
"Kundeneinlagen aus dem Bankgeschäft",71718687.26
"Steuerrückstellungen",3613304.99
"Ergebnis vor Zinsen und Ertragsteuern (EBIT)",35212389.75
"Unternehmen",0
"Gewinn/Verlust aus dem Abgang von Anlagevermögen",4100.16
"langfristigen Vermögenswerten",0
"Abnahmen/Zunahmen aus Währungskursdifferenzen",2046.84
"Zunahme/Abnahme der Vorräte",0
"Zunahme/Abnahme Forderungen aus Lieferungen und Leistungen",3028417.8
"Zunahme/Abnahme anderer kurzfristiger Aktiva ohne Finanzschulden",811819.45
"Zunahme/Abnahme der Rückstellungen",1214785.73
"Zunahme/Abnahme Verbindlichkeiten aus Lieferungen und Leistungen",35907476.5
"Zunahme/Abnahme anderer kurzfristiger Passiva ohne Finanzschulden",7741794.63
"Sonstige zahlungsunwirksame Aufwendungen und Erträge",484500
"Auszahlungssaldo aus Ertragsteuern",2978988.62
"Gezahlte Zinsen ohne Darlehenszinsen",129327.86
"Erhaltene Zinsen",465928.66
"Sachanlagen",6565786.12
"Sachanlagen",0
"Auszahlungen für Investitionen in finanzielle Vermögenswerte",2680
"Einzahlungen aus dem Verkauf von finanziellen Vermögenswerten",0
"Gesellschaften unter Abzug erworbener Zahlungsmittel",1910442.48
"konsolidierten Unternehmen",0
"Einzahlungen aus der Ausgabe von Aktien",129733.87
"Auszahlungen für Aufwendungen aus der Ausgabe von Aktien",0
"Einzahlungen aus der Aufnahmen von Finanzverbindlichkeiten",0
"Finanzverbindlichkeiten",0
"Auszahlung aus der Tilgung von Finanzverbindlichkeiten",0
"Dividendenausschüttung",0
"Gezahlte Zinsen aus Darlehen",373609.84
"Zahlungswirksame Veränderungen des Finanzmittelfonds",15930844.66
"wechselkursbedingte Änderungen  des Finanzmittelfonds",3146.52
"konsolidierungskreisbedingte Änderungen des Finanzmittelfonds",1394.64
"nicht zahlungswirksame Eigenkapitalzuführungen, davon",481353.48
"Differenzen aus Währungsumrechnungen",3146.52
"Erhöhung Kapitalrücklage wegen Personalaufwand Wandelanleihe",484500
"I. Umsatzerlöse",141084847.75
"1. Aktivierte Eigenleistungen",3007256
"2. Bestandsveränderungen",0
"1. Materialaufwand",77880505.43
"2. Personalaufwand",17759297.29
"3. Abschreibungen",2378749.49
"1. Sonstige betriebliche Erträge",3117291.18
"1. Sonstige Finanzerträge",560948.5
"2. Finanzaufwand",502937.7
"VII. Ertragsteueraufwand",5786626.25
"X. Erträge aus Kapitalherabsetzungen",0
"Ergebnis je Aktie (unverwässert)",290
"Wartungskosten Hard- und Software",1128000
"Raumkosten",1096000
"Verwaltungskosten",5284000
"Vertriebskosten",2310000
"Übrige",4160000
"Selbsterstellte immaterielle Vermögenswerte",11973435.6
"Sonstige immaterielle Vermögenswerte",9804390.24
"Kundenbeziehungen",47238469.94
"Sonstige Sachanlagen",1537353.49
"3. Finanzielle Vermögenswerte",3929174.38
"Latente Steueransprüche",4937094.25
"1. Vorräte",208177.06
"2. Forderungen aus Lieferungen und Leistungen und sonstige Forderungen",91129202.64
"Steuererstattungsansprüche",1842626.69
"4. Zahlungsmittel und Zahlungsmitteläquivalente",230311126.97
"Payment Processing & Risk Management",65984000
"Acquiring & Issuing",24017000
"Call Center & Communication Services",288000
"1. Gezeichnetes Kapital",101803139
"2. Kapitalrücklage",11207017.49
"3. Bilanzgewinn",119568187.19
"4. Umrechnungsrücklage",18280.47
"Langfristige verzinsliche Verbindlichkeiten",4500000
"Sonstige langfristige Verbindlichkeiten",0
"Latente Steuerschulden",5568660.68
"Verbindlichkeiten aus Lieferungen und Leistungen",131429186.43
"Verzinsliche Verbindlichkeiten",4501661.95
"Sonstige Rückstellungen",1604347.48
"Sonstige Verbindlichkeiten",4959144.47
"Kundeneinlagen aus dem Bankgeschäft",105615275.03
"Steuerrückstellungen",2461737.4
"Ergebnis vor Zinsen und Ertragsteuern (EBIT)",40688215.75
"Unternehmen",0
"Gewinn/Verlust aus dem Abgang von Anlagevermögen",51548.84
"Zunahme/Abnahme aus Währungskursdifferenzen",2128820.97
"Zunahme/Abnahme der Vorräte",145237.54
"Zunahme/Abnahme Forderungen aus Lieferungen und Leistungen",34097030.42
"Zunahme/Abnahme anderer Aktiva",817922.32
"Zunahme/Abnahme der Rückstellungen",807981.81
"Leistungen*",19337082.55
"Zunahme/Abnahme anderer kurzfristiger Passiva",424814.3
"Sonstige zahlungsunwirksame Aufwendungen und Erträge",1716054.75
"Auszahlungssaldo aus Ertragsteuern",2289598.18
"Gezahlte Zinsen ohne Darlehenszinsen",398594.1
"Erhaltene Zinsen",600870.48
"Eliminierung Kaufpreisverbindlichkeiten",29324.34
"Sachanlagen",7367260.17
"und Sachanlagen",0
"Auszahlungen für Investitionen in finanzielle Vermögenswerte",0
"Einzahlungen aus dem Verkauf von finanziellen Vermögenswerten",0
"Zahlungsmittel",0
"konsolidierten Unternehmen",0
"Einzahlungen aus der Ausgabe von Aktien",0
"Auszahlungen für Aufwendungen aus der Ausgabe von Aktien",0
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",0
"Finanzverbindlichkeiten",0
"Auszahlung aus der Tilgung von Finanzverbindlichkeiten",0
"Dividendenausschüttung",8144251.12
"Gezahlte Zinsen aus Darlehen",303143.37
"Zahlungswirksame Veränderungen des Finanzmittelfonds",7488210.79
"wechselkursbedingte Änderungen des Finanzmittelfonds",6162.67
"konsolidierungskreisbedingte Änderungen des Finanzmittelfonds",0
"nicht zahlungswirksame Eigenkapitalzuführungen, davon",490662.67
"Differenzen aus Währungsumrechnungen",6162.67
"Erhöhung Kapitalrücklage wegen Personalaufwand Wandelanleihe",484500
"I. Umsatzerlöse",163694359.74
"1. Aktivierte Eigenleistungen",3378311.48
"1. Materialaufwand",91448922.81
"2. Personalaufwand",19276048.45
"3. Abschreibungen",2956285.66
"1. Sonstige betriebliche Erträge",3015952.7
"1. Sonstige Finanzerträge",838701.09
"2. Finanzaufwand",1364709.86
"VII. Ertragsteueraufwand",6903674.11
"X. Erträge aus Kapitalherabsetzungen",0
"Ergebnis je Aktie (unverwässert)",330
"Rechtsberatungs-, Abschlusskosten",1713000
"Beratungs- und beratungsnahe Kosten",3657000
"Bürokosten",1835000
"Betriebsausstattung und Leasing",2515000
"Vertrieb und Marketing",3541000
"Sonstiges",2458000
"Selbsterstellte immaterielle Vermögenswerte",15496996.83
"Sonstige immaterielle Vermögenswerte",13192906.42
"Kundenbeziehungen",49729249.71
