"BEZEICHNUNG","THIS_YEAR"
"Liquide Mittel",27555222.57
"Forderungen aus Lieferungen und Leistungen",34419110.9
"Forderungen im Verbundbereich",1324694.36
"Vorräte",344875
"Vermögensgegenstände",4586273.57
"Wertpapiere",160102.13
"ÜBRIGE",0
"Latente Steuern",1369000
"Sachanlagevermögen",725318.73
"Immaterielle Vermögensgegenstände",514433.55
"Geschäfts- oder Firmenwerte",47912443.84
"Finanzanlagen",2741.16
"langfristigen Darlehen",16160146.84
"Verbindlichkeiten aus Lieferungen und Leistungen",45069232.93
"Verbindlichkeiten im Verbundbereich",0
"Erhaltene Anzahlungen",0
"Rückstellungen",3650026.44
"Sonstige kurzfristige Verbindlichkeiten",2720243.02
"Umsatzabgrenzungsposten",125122.13
"Gezeichnetes Kapital",52669735
"geleistete Einlage",0
"Kapitalrücklage",1
"Bilanzgewinn / Bilanzverlust (inkl.Gewinnrücklagen)",1513212.74
"Kumuliertes übriges Comprehensive Income",32921.19
"Jahresergebnis",251129.3
"Zunahme / Abnahme der Rückstellungen und Wertberichtigungen",3275528.29
"Sonstige: Comprehensive Income",6071.2
"u. sonstigen Passiva",40908464.53
"Veränderung des Nettoumlaufvermögens",31822622.36
"Erstkonsolidierungen",1540020.71
"Erwerb von Anlagevermögen",1291.43
"Erlöse aus dem Verkauf von Finanzanlagen",0
"Rückzahlung ausgereichter Darlehen",0
"Erlöse aus Eigenkapitalzuführungen",0
"Einzahlungen aus der Aufnahme von kurz- oder langfristigen Darlehen",0
"Auszahlungen aus der Tilgung von Darlehen",0
"Zahlungswirksame Veränderungen des Finanzmittelfonds",11158151.37
"Umsatzerlöse",4694613.98
"Sonstige betriebliche Erträge",57157.29
"Bestandsveränderungen an fertigen und unfertigen Erzeugnissen",258296
"Andere aktivierte Eigenleistungen",0
"Materialaufwand / Aufwand für bezogene Leistungen",3124025.34
"Personalaufwand",530669.91
"(und immaterielle Vermögensgegenstände)",80892.55
"Abschreibungen auf den Geschäfts- und Firmenwert",0
"Sonstige betriebliche Aufwendungen",615725.78
"Übrige",0
"Zinserträge/-aufwendungen",30169
"Beteiligungserträge",0
"Equity-Methode bilanzierten Finanzanlagen",0
"Währungsgewinne/-verluste",10880.75
"Sonstige Erlöse/Aufwendungen",0
